t,r
970004,45.89117562233506
970014,45.60701700396552
970024,50.53711507397311
970034,53.81449618829484
970044,44.82186966202994
970054,56.08029957123981
970064,71.56814934033156
970074,51.62363799656123
970084,38.07886552931954
970094,49.47726750741192
970104,41.773197148410844
970114,55.14526271584895
970124,47.38143096192854
970134,50.21951811795888
970144,45.89117562233506
970154,62.96824596572466
970164,31.016124838541646
970174,49.09175083453431
970184,46.87216658103186
970194,45.69463863518345
970204,44.41846462902562
970214,36.6742416417845
970224,44.82186966202994
970234,54.589376255824725
970244,42.5205832509386
970254,44.41846462902562
970264,48.703182647543684
970274,65.0
970284,54.230987451824994
970294,39.66106403010388
970304,35.35533905932738
970314,55.97320787662612
970324,60.13318551349163
970334,47.4236228055175
970344,45.79301256742124
970354,50.695167422546305
970364,44.0
970374,55.326304774492215
970384,49.678969393496885
970394,39.05124837953327
970404,46.09772228646444
970414,57.723478758647246
970424,40.70626487409524
970434,48.46648326421054
970444,44.204072210600685
970454,47.50789408087881
970464,55.154328932550705
970474,56.639209034025185
970484,31.89043743820395
970494,39.20459156782532
970504,31.78049716414141
970514,43.382023926967726
970524,43.08131845707603
970534,69.8927750200262
970544,55.97320787662612
970554,41.048751503547585
970564,35.014282800023196
970574,47.38143096192854
970584,56.43580423808985
970594,48.76474136094644
970604,44.68780594300866
970614,45.18849411078001
970624,47.853944456021594
970634,48.093658625644196
970644,46.010868281309364
970654,71.84705978674423
970664,60.876925020897694
970674,53.03772242470448
970684,40.45985664828782
970694,38.0
970704,35.608987629529715
970714,35.84689665786984
970724,34.20526275297414
970734,40.607881008493905
970744,60.959002616512684
970754,37.589892258425
970764,92.89241088485109
970774,41.23105625617661
970784,83.19254774317228
970794,32.55764119219941
970804,76.16429609731846
970814,50.0
970824,70.43436661176133
970834,30.4138126514911
970844,60.14149981501958
970854,23.53720459187964
970864,61.814237842102365
970874,56.293871780150276
970884,41.23105625617661
970894,76.27581530209953
970904,84.09518416651456
970914,68.26419266350405
970924,51.66236541235796
970934,70.0
970944,30.805843601498726
970954,25.0
970964,57.982756057296896
970974,57.0087712549569
970984,88.11923740024082
970994,51.0
971004,71.06335201775947
971014,32.802438933713454
971024,55.94640292279746
971034,54.42425929675111
971044,48.104053883222775
971054,44.654227123532216
971064,62.20128616033595
971074,83.95236744726142
971084,57.38466694161429
971094,83.57032966310472
971104,53.600373133029585
971114,65.30696746902278
971124,47.80167361086848
971134,51.884487084291386
971144,51.35172830587107
971154,21.2602916254693
971164,82.46211251235322
971174,35.84689665786984
971184,28.460498941515414
971194,59.81638571495272
971204,60.37383539249432
971214,46.95742752749558
971224,58.9406481131655
971234,60.53924347066124
971244,47.38143096192854
971254,66.06814663663572
971264,54.644304369257
971274,34.88552708502482
971284,40.162171256046406
971294,42.5440947723653
971304,60.83584469702052
971314,67.42403132415029
971324,25.238858928247925
971334,29.410882339705484
971344,47.38143096192854
971354,196.25493624365222
971364,158.06960492137634
971374,772.1657853077926
971384,268.337474088134
971394,555.0036035919046
971404,482.420977984996
971414,2748.2439848019317
971424,740.2708963615954
971434,2059.9381058662902
971444,506.06323715519983
971454,1006.717438013269
971464,165.43578814754684
971474,937.394260703574
971484,337.76915193664445
971494,421.67285897956486
971504,608.6485028322998
971514,417.0431632337353
971524,501.7608992338881
971534,290.2430016382824
971544,378.00132274900835
971554,1011.7079618150684
971564,458.87253131997346
971574,638.3134026479469
971584,538.7327723463646
971594,234.5591609807641
971604,512.8674292641325
971614,468.2360515808239
971624,200.47942537826668
971634,49.193495504995376
971644,187.52333188166213
971654,310.8858311341963
971664,712.2990944820863
971674,549.1165632176833
971684,155.18376203714098
971694,162.1141573089778
971704,816.5414870047939
971714,601.2403845384972
971724,346.09247319177575
971734,497.3932046178355
971744,475.482912416419
971754,533.2054013229798
971764,546.5400259816292
971774,291.34343994674055
971784,404.3772990661073
971794,477.62432936357
971804,272.6206155080719
971814,402.3145535523168
971824,562.5699956449864
971834,633.2211304118017
971844,278.21214926742505
971854,712.598765084532
971864,881.3047146135099
971874,1083.138033678072
971884,1216.235585731646
971894,1367.188721428026
971904,1317.6361409736755
971914,1299.2786460186283
971924,1399.7389042246414
971934,1402.3512398825053
971944,1532.7445971198201
971954,1765.1243582252214
971964,1749.6985454643323
971974,2124.527241529277
971984,2251.6998023715328
971994,2881.1568856971326
972004,2936.5941156380463
972014,3009.6182482168733
972024,3172.489401085526
972034,3225.4750037785134
972044,3601.3519683585496
972054,3720.3204163082514
972064,4024.159539580905
972074,3899.4666301944426
972084,3857.7724142307825
972094,4844.079272679174
972104,4152.592563688376
972114,4651.9082106163705
972124,4524.012820494655
972134,4755.591445866644
972144,4833.128283006773
972154,4811.44676786515
972164,5483.274660273731
972174,5515.589995639632
972184,5048.71033037151
972194,5184.4214720641685
972204,5262.298072135405
972214,4926.943981820779
972224,4967.9719202105
972234,5023.240487971882
972244,5036.535515609912
972254,4914.578517024629
972264,4578.506306646306
972274,4459.879931119222
972284,4411.59245624525
972294,4198.363728882956
972304,4082.195977657124
972314,3851.0
972324,3891.008224098222
972334,3384.3126333127084
972344,3393.495690287524
972354,3230.130183135039
972364,2802.713863383132
972374,2505.051097283247
972384,2430.2168627511414
972394,2196.7139094565773
972404,2005.1538594332355
972414,1555.3176524427413
972424,1712.675392478096
972434,673.2607221574715
972444,484.9340161300298
972454,668.6777998408501
972464,610.8657790382434
972474,282.0780033962237
972484,206.01456259206532
972494,270.8228203087768
972504,457.3007762949895
972514,583.3095233235953
972524,1010.0
972534,1069.2511398170216
972544,1149.2536708664454
972554,1318.0349009036142
972564,1336.733331670906
972574,1679.0119118100383
972584,1880.44276700994
972594,1791.9042943193144
972604,2142.8896378488557
972614,1926.2201327989487
972624,2755.6902946448827
972634,2666.2381739072
972644,2598.5815361462105
972654,2715.3095587796247
972664,2498.936773910056
972674,2297.183057572905
972684,2198.803538290768
972694,2249.992222208779
972704,2318.5120228284345
972714,2348.952106791452
972724,2089.5549765440487
972734,2096.458919225464
972744,2127.3105086000023
972754,2266.3808153088485
972764,2844.9093131416334
972774,2086.5459496498033
972784,2006.8395551214353
972794,2067.7294310426596
972804,1959.7658023345546
972814,2029.455345653114
972824,1919.1135974714994
972834,1962.9296981807577
972844,1937.1187366808467
972854,1989.7763693440527
972864,1851.2703746346724
972874,2011.6003579240087
972884,1849.3504265011538
972894,1822.24504389503
972904,1899.2516947471706
972914,1915.0039164450814
972924,1891.4021254085553
972934,1808.046459580063
972944,1900.002631577125
972954,1908.835246950349
972964,1799.8380482698992
972974,1777.010129402756
972984,1766.1964783115156
972994,1917.2688908966315
973004,2031.6791085208313
973014,1912.6737829541137
973024,1838.2973100127194
973034,1991.9199281095614
973044,2107.1041739790653
973054,2075.6748300251656
973064,2174.1768557318424
973074,2079.6357854201297
973084,2184.362836160696
973094,2311.649843726337
973104,2451.8533806082287
973114,2039.6950752502198
973124,2169.480122056895
973134,2071.27907342299
973144,1746.6324742200347
973154,1624.9123053260444
973164,1502.4423449836602
973174,1444.4573375492957
973184,1397.1989836812793
973194,1283.73868057327
973204,1293.9818391306735
973214,1200.8201364067809
973224,1213.3424908079335
973234,1170.7574471255778
973244,1189.3683197395162
973254,1210.6997976377133
973264,1219.73972633509
973274,1318.268561409245
973284,1422.0506320099857
973294,1516.2354698396948
973304,1591.7050606189578
973314,1668.0986181877856
973324,1704.9633427144408
973334,1767.9720020407563
973344,1841.2020530077627
973354,1839.9152154379287
973364,1876.152712334473
973374,1927.3206790775635
973384,1951.001025115056
973394,1969.0081259354924
973404,1954.5168200862329
973414,1992.5935360730246
973424,1964.5103715684477
973434,1956.98237089658
973444,1942.508172440981
973454,1941.7569363851903
973464,1949.6179112841573
973474,1998.8889413871898
973484,1999.15607194636
973494,1983.2006958449767
973504,2003.5992613294704
973514,1962.641587249185
973524,2004.6994787249284
973534,1986.3828936033456
973544,1950.8328990459433
973554,1940.8423429016589
973564,1900.4609967057993
973574,1853.0464106438349
973584,1770.0734448039154
973594,1684.8080009306698
973604,1563.9427738891216
973614,1479.521882230878
973624,1342.0450812100166
973634,1197.5458237579053
973644,1023.629327442312
973654,830.9951865083215
973664,714.2443559454986
973674,624.9583986154598
973684,498.62310415783986
973694,341.287269027135
973704,275.0781707078917
973714,208.38905921376966
973724,168.92897915988246
973734,167.59773268156107
973744,135.05924625881784
973754,106.53168542738823
973764,121.6552506059644
973774,134.08206442324789
973784,190.93978108293726
973794,286.54144551879403
973804,392.23079940259663
973814,474.03058973024093
973824,440.29081298614443
973834,483.9586759218188
973844,612.9738983023666
973854,649.0030816567822
973864,633.1674344120993
973874,679.4858350252786
973884,690.3745360309866
973894,740.6051579620547
973904,777.4059428638296
973914,787.20835869546
973924,812.9680190511801
973934,822.942282301742
973944,839.4432678865202
973954,870.3246520695596
973964,831.8557567270902
973974,878.6836745951298
973984,921.52753621365
973994,935.0165773931498
974004,950.1663012336314
974014,1000.4249097258624
974024,1044.2552369990776
974034,1067.6816004783448
974044,1096.0314776501632
974054,1080.6405507845798
974064,1085.2326939417187
974074,1103.6349033987644
974084,1147.7216561518737
974094,1102.6232357428353
974104,1057.2800007566586
974114,1059.0656259174878
974124,1082.7086404014701
974134,1059.5942619701184
974144,997.4337070702995
974154,998.4813468462994
974164,964.9626935793943
974174,913.4686639398201
974184,845.5986045400027
974194,824.1510783830838
974204,774.9322551036316
974214,692.4514423409053
974224,663.4342469303194
974234,642.049842301982
974244,553.0497265165222
974254,494.52704678308544
974264,413.0919994383818
974274,405.4528332617741
974284,436.6062299143245
974294,465.4889902027759
974304,509.5448949798241
974314,553.1744751884346
974324,620.1265999777787
974334,726.0316797495823
974344,825.8341237803146
974354,873.3321246810975
974364,971.0144180185997
974374,1063.1895409568324
974384,1093.8450530125372
974394,1173.311552828148
974404,1247.5099198002395
974414,1311.2513107715088
974424,1372.9519292386024
974434,1406.6413899782701
974444,1482.540050049239
974454,1577.327486605112
974464,1691.1194517242122
974474,1768.2480029679095
974484,1838.328044718896
974494,1862.7670278378882
974504,1878.4301956687132
974514,1913.0010454780206
974524,1908.020178090368
974534,1954.4922614326208
974544,1944.1000488657985
974554,1967.2480778996837
974564,1958.3794320815362
974574,1942.6541122907083
974584,1904.4269479294815
974594,1896.4295399513264
974604,1945.6232934460875
974614,1928.7739629101177
974624,1890.9732943645713
974634,1835.3860629306305
974644,1809.1345997465196
974654,1769.8545137948486
974664,1771.1931007092367
974674,1716.514200349068
974684,1638.1654373108963
974694,1572.1071846410473
974704,1503.2391692608333
974714,1433.1008338564318
974724,1341.3086893031
974734,1261.4535266905395
974744,1192.0973114641272
974754,1130.3596772709118
974764,1063.498001878706
974774,997.1609699541996
974784,922.1626754537401
974794,833.6438088296463
974804,795.3577811274622
974814,797.3035808272781
974824,756.2552479156756
974834,772.8706230670176
974844,749.6465833978035
974854,752.5702625004525
974864,783.0102170470063
974874,821.3677617243083
974884,862.8400778823385
974894,877.7180640729687
974904,936.4000213583936
974914,962.7003687544739
974924,987.5550617560522
974934,1077.3903656521159
974944,1151.7517093540605
974954,1210.3111170273535
974964,1261.2473984115884
974974,1358.3346421261588
974984,1464.4606515710827
974994,1532.6268299883047
975004,1529.0470888759444
975014,1604.80061066788
975024,1671.1448171837174
975034,1688.8013500705167
975044,1702.2646680231603
975054,1676.9734643100348
975064,1608.3811737271735
975074,1626.4000122970979
975084,1588.258480222914
975094,1516.3772617656862
975104,1483.5501339691896
975114,1455.2336582143776
975124,1428.532813763828
975134,1366.9868324164647
975144,1308.371889028498
975154,1262.119249516463
975164,1249.6019366182177
975174,1183.6426825693638
975184,1061.8196645381927
975194,975.8442498677748
975204,887.6812490978955
975214,843.0278761701775
975224,840.1981909049792
975234,820.2103388765591
975244,777.3004567089871
975254,767.385822126002
975264,751.5617073800394
975274,752.4493338424853
975284,770.6056060008907
975294,805.4023839050888
975304,819.2832233116945
975314,865.9405291358062
975324,896.7429955120921
975334,978.7262129931945
975344,1057.386400517805
975354,1149.0187117710486
975364,1237.2437108346924
975374,1333.0555127225573
975384,1461.6350433675295
975394,1525.1652369497542
975404,1586.6433121530497
975414,1666.3757079362385
975424,1724.8420217515575
975434,1801.1091027475265
975444,1859.06858399576
975454,1931.0815622339726
975464,1946.739325128046
975474,1962.0117226968855
975484,2001.5773779696851
975494,2074.5633275463056
975504,2164.9817551194283
975514,2179.95343986976
975524,2216.642731700352
975534,2262.1098558646527
975544,2286.310565080781
975554,2335.913739845716
975564,2337.5414434828745
975574,2351.0886839930135
975584,2376.3606628624366
975594,2394.00187969851
975604,2448.588368836216
975614,2447.0995075803517
975624,2454.00081499579
975634,2441.127813122451
975644,2384.782799334145
975654,2402.0407989873943
975664,2411.66208246512
975674,2397.557507130955
975684,2350.1170183631284
975694,2320.6122037083232
975704,2247.382922423324
975714,2192.4582094078783
975724,2140.899343733843
975734,2080.2242667558708
975744,1986.5638675864413
975754,1890.202370118078
975764,1851.2028522017786
975774,1755.108258769242
975784,1687.471481240498
975794,1588.7063920057726
975804,1498.3100480207693
975814,1424.7448894451245
975824,1356.2215895641832
975834,1311.088860451495
975844,1224.5203142455416
975854,1177.762709547216
975864,1122.216111094472
975874,1070.628320193334
975884,1067.6539701607446
975894,1030.4372858160752
975904,1012.5709851659784
975914,1000.7217395460139
975924,999.8844933291045
975934,1040.0163460253882
975944,1095.2935679533593
975954,1141.474923071024
975964,1240.796921337251
975974,1327.2000602772741
975984,1412.770328114234
975994,1443.2342152263436
976004,1570.0614637650335
976014,1621.0694001183292
976024,1702.7968170043073
976034,1760.900053949684
976044,1781.697224558651
976054,1826.1883802061604
976064,1826.3564821797522
976074,1768.5805042462725
976084,1776.243508081029
976094,1800.4277269582358
976104,1768.0203618736975
976114,1721.6346883122446
976124,1687.147889190512
976134,1704.91348754123
976144,1665.5113328944958
976154,1651.6709720764604
976164,1646.816626100186
976174,1600.955964416261
976184,1606.029264988655
976194,1604.3565688462152
976204,1574.6898107246393
976214,1604.426688882979
976224,1550.9771113720537
976234,1555.5426705815562
976244,1561.347174718038
976254,1543.1023945286327
976264,1556.5246544786883
976274,1553.878051843194
976284,1566.3080795296946
976294,1599.6562130657949
976304,1614.2217939304376
976314,1657.4836349116692
976324,1679.197725105653
976334,1715.4847711361358
976344,1747.4784691091334
976354,1816.704984305377
976364,1856.8233626276894
976374,1943.251141772468
976384,1988.6792099280367
976394,2056.5225503261568
976404,2113.9794227948387
976414,2171.061721831049
976424,2211.395939220293
976434,2280.9009184968995
976444,2318.295278863329
976454,2386.9195629513783
976464,2455.3325640328235
976474,2534.951281583139
976484,2545.9025904382124
976494,2612.3659774235307
976504,2634.3727906277804
976514,2694.7033231879163
976524,2746.2660104221513
976534,2804.7424124150866
976544,2830.6907284265444
976554,2903.4600048907164
976564,2951.44879677761
976574,2987.6348505130277
976584,3011.998671978459
976594,3065.574660646842
976604,3105.7218162610766
976614,3115.918163238566
976624,3118.698767114259
976634,3183.610528943514
976644,3204.3560975646888
976654,3191.811084635179
976664,3181.754233123608
976674,3185.3869466675474
976684,3137.803690481608
976694,3099.616750503197
976704,3096.6473806360323
976714,3123.7824828243083
976724,3103.655908763083
976734,3110.8431333000385
976744,3110.3004678004986
976754,3080.784964907483
976764,3133.063197575178
976774,3089.8391543897555
976784,3082.265400642845
976794,3137.583943100168
976804,3070.5546730191923
976814,3063.579932040292
976824,3018.5647251632686
976834,3047.7614736064893
976844,3004.5999733741596
976854,2963.360423573211
976864,2948.8574058438294
976874,2906.037852471987
976884,2899.9622411334944
976894,2861.9060082399633
976904,2836.0863879649364
976914,2803.905847206714
976924,2785.3847131051753
976934,2760.2979911596503
976944,2748.6573085781356
976954,2737.264327754994
976964,2699.0635413046502
976974,2650.481088406405
976984,2587.1265914137252
976994,2581.2620944026585
977004,2557.6053252994293
977014,2517.8169115326873
977024,2480.972591545501
977034,2488.190105277328
977044,2465.567885903773
977054,2408.923410986742
977064,2412.457875279898
977074,2407.4638107352725
977084,2379.0016813781363
977094,2385.4192503625018
977104,2371.334012744725
977114,2372.2415559971964
977124,2351.8301384241167
977134,2322.0977584933844
977144,2307.110747233431
977154,2255.41348758936
977164,2234.763969639747
977174,2207.6723035813084
977184,2216.827688387169
977194,2187.3966261288783
977204,2180.5925800112227
977214,2171.7297253571865
977224,2173.716862887161
977234,2134.8857112267156
977244,2099.4344476548918
977254,2082.6437525414663
977264,2037.7526837180217
977274,2046.8368278883395
977284,2012.6244060927017
977294,2030.4849174519863
977304,2005.790118631558
977314,2036.5473232900827
977324,2020.038861012332
977334,2021.2117652537054
977344,2003.0898631863724
977354,1979.9204529475421
977364,2000.0929978378506
977374,1967.5466957609926
977384,1955.8159422604163
977394,1962.2441234464177
977404,1966.9041664504146
977414,1966.2220118796351
977424,1985.0191434845156
977434,2000.1912408567337
977444,1997.1825154451958
977454,2002.0
977464,1994.5397965445563
977474,2007.3666829954113
977484,2000.3239737602507
977494,2059.7720747694393
977504,2048.5079936382967
977514,2085.522716251252
977524,2101.109468828314
977534,2099.4201580436443
977544,2074.3791842380215
977554,2102.419796329934
977564,2154.349321721062
977574,2162.0686853104366
977584,2161.5721130695592
977594,2174.7133144393997
977604,2198.3823598273343
977614,2195.6762056368875
977624,2159.1037492441164
977634,2225.5736339200284
977644,2264.9911699607133
977654,2318.0034512485095
977664,2286.1366975751907
977674,2336.439385047256
977684,2382.0751457500246
977694,2401.882594965874
977704,2434.730375216114
977714,2480.4289951538626
977724,2458.095400915107
977734,2507.8614395536288
977744,2528.3310700934717
977754,2592.8835299719885
977764,2618.893850464352
977774,2635.7080642590145
977784,2659.5482699135205
977794,2730.8315583352996
977804,2740.7451541506007
977814,2802.0144539241765
977824,2819.4299069138074
977834,2870.786651773343
977844,2889.380902546426
977854,2938.419983596627
977864,2991.289019804004
977874,3035.254355074711
977884,3064.043243820165
977894,3098.16026054173
977904,3130.9827530665193
977914,3168.9185852590153
977924,3245.44742678109
977934,3222.9973627044747
977944,3224.147174060142
977954,3253.9817147611634
977964,3260.451042417291
977974,3291.882136407681
977984,3290.16185012227
977994,3322.1884353540213
978004,3315.507804243567
978014,3361.817514381172
978024,3393.498637100065
978034,3452.0696690536242
978044,3452.3038684333683
978054,3479.8718367204274
978064,3513.2062279348193
978074,3514.487160312298
978084,3502.3614890527792
978094,3554.726009132068
978104,3554.9022490076995
978114,3598.8205012198096
978124,3638.9009329741307
978134,3650.328889292032
978144,3688.957034176462
978154,3703.8120902659193
978164,3750.216260430857
978174,3765.9320227534645
978184,3822.921657580757
978194,3785.4640402465852
978204,3838.520548336299
978214,3854.752002399117
978224,3856.532250610644
978234,3899.651779325944
978244,3940.7027292096013
978254,3955.7603567455903
978264,3955.5957831911996
978274,3974.142674841959
978284,3958.1291035033205
978294,3981.9224000474946
978304,3977.7924782472
978314,3968.5896739269983
978324,4038.0846945055523
978334,3984.5969683269095
978344,4030.0483868062925
978354,4009.4449740581304
978364,4020.0537309842016
978374,4061.2762772310875
978384,4033.485465450446
978394,4013.393202764962
978404,4045.8395914816
978414,4017.203255997884
978424,4042.1622926349705
978434,4010.727240788134
978444,4042.9970319059103
978454,4023.0800389751134
978464,3986.3868352180775
978474,4016.7511747679864
978484,3992.3007151265547
978494,3977.31882051213
978504,3978.0268978477256
978514,4002.973394865372
978524,3989.936590974849
978534,3977.227300519798
978544,3962.922280338084
978554,3972.6953067155805
978564,3947.875504622708
978574,3932.745860083003
978584,3905.3625952016287
978594,3901.5280339887345
978604,3848.9749284712157
978614,3874.1484225568847
978624,3860.264239660285
978634,3815.0597636210105
978644,3783.2400135333737
978654,3755.36376400476
978664,3750.560624759984
978674,3676.164985416188
978684,3659.8264986198456
978694,3676.1471678919493
978704,3639.0240449878866
978714,3615.713069368199
978724,3574.9811188312588
978734,3541.749426484036
978744,3555.132205699248
978754,3491.468458972528
978764,3481.758320159514
978774,3463.161561348243
978784,3402.2792360416274
978794,3402.9612104753705
978804,3384.879466096245
978814,3377.6768643551445
978824,3329.9159148543076
978834,3360.912078588192
978844,3314.7865692982405
978854,3292.887183005212
978864,3281.1755515363698
978874,3262.775812096197
978884,3258.310144845024
978894,3230.8984818468066
978904,3207.701357670318
978914,3218.97002160629
978924,3236.988724107639
978934,3175.140469333601
978944,3179.642275476913
978954,3123.530854657914
978964,3143.7445825003024
978974,3085.6773972662795
978984,3036.518565726217
978994,2991.9124318736335
979004,2994.56657965723
979014,2933.285529913513
979024,2890.1211047290044
979034,2906.585797804703
979044,2893.116831377537
979054,2858.389056794054
979064,2823.9436963225735
979074,2820.33987313586
979084,2792.414367532154
979094,2754.368348641844
979104,2773.4233358793244
979114,2765.5426230669455
979124,2722.8038857031183
979134,2739.8490834350714
979144,2689.1563732888426
979154,2733.279531990828
979164,2689.470208052136
979174,2690.563138080948
979184,2692.1827575408024
979194,2647.7088208486975
979204,2641.22698759497
979214,2610.161106138853
979224,2596.4523873932294
979234,2544.5239240376577
979244,2532.315343712153
979254,2529.332916007697
979264,2502.6907519707665
979274,2487.2444592359634
979284,2475.502575235986
979294,2472.2803239115096
979304,2480.006854829236
979314,2455.1034601417514
979324,2456.202353227437
979334,2424.419930622581
979344,2401.4672598226275
979354,2380.273093575609
979364,2362.345656333975
979374,2386.115881511206
979384,2400.1302048013977
979394,2368.307834720816
979404,2373.5446067011253
979414,2360.0
979424,2371.420249555106
979434,2346.6580492266016
979444,2341.962424976114
979454,2315.9317779243843
979464,2273.1097641777
979474,2276.0125219339193
979484,2265.3558219405622
979494,2236.3007400615866
979504,2229.0906217558763
979514,2215.6039808593955
979524,2212.789190139901
979534,2237.1455026439385
979544,2247.4541152157035
979554,2268.075175120966
979564,2257.121175302735
979574,2246.813298874653
979584,2198.986130015376
979594,2195.8073686004427
979604,2195.560292954853
979614,2173.7297440114307
979624,2133.7825568693734
979634,2145.4297937709357
979644,2126.067966928621
979654,2122.400763286708
979664,2166.4941726208267
979674,2176.9724389619637
979684,2153.8061658375855
979694,2160.3703386225243
979704,2146.6031305297215
979714,2150.703373317669
979724,2185.343222471015
979734,2184.5612831870844
979744,2179.67543455442
979754,2198.883807753379
979764,2202.371676170941
979774,2209.128787554044
979784,2177.9442141616023
979794,2178.998164294775
979804,2162.381094996902
979814,2145.6469886726472
979824,2151.6300797302497
979834,2150.4250742585755
979844,2152.5240997489436
979854,2147.497380673606
979864,2161.9502769490327
979874,2173.891671634077
979884,2163.670261384576
979894,2179.696538511726
979904,2196.5302183216145
979914,2206.1958208645033
979924,2203.8244031682743
979934,2230.6781480079103
979944,2239.2250891770573
979954,2266.48648793678
979964,2300.313456901037
979974,2306.8333273125736
979984,2336.675416055897
979994,2362.597087952154
